iter	Passed	Remaining
432	1605	6181
433	1607	6169
434	1611	6166
435	1615	6163
436	1618	6160
437	1622	6157
438	1626	6153
439	1629	6148
440	1633	6144
441	1637	6141
442	1641	6138
443	1644	6134
444	1648	6130
445	1652	6126
446	1655	6122
447	1659	6118
448	1662	6114
449	1666	6109
450	1669	6105
451	1673	6101
452	1676	6097
453	1680	6092
454	1683	6088
455	1687	6084
456	1691	6080
457	1695	6077
458	1698	6073
459	1703	6072
460	1706	6068
461	1710	6065
462	1714	6062
463	1719	6061
464	1723	6059
465	1726	6055
466	1730	6052
467	1733	6043
468	1736	6040
469	1740	6036
470	1744	6033
471	1748	6030
472	1752	6027
473	1755	6023
474	1759	6019
475	1763	6015
476	1767	6012
477	1770	6008
478	1774	6005
479	1778	6002
480	1782	5999
481	1785	5995
482	1789	5990
483	1793	5987
484	1797	5985
485	1800	5980
486	1804	5976
487	1808	5972
488	1811	5968
489	1815	5964
490	1819	5960
491	1822	5957
492	1826	5952
493	1830	5949
494	1833	5945
495	1837	5941
496	1840	5936
497	1842	5926
498	1846	5922
499	1849	5918
500	1853	5915
501	1857	5914
502	1861	5910
503	1865	5907
504	1869	5904
505	1873	5900
506	1876	5896
507	1880	5892
508	1883	5888
509	1887	5884
510	1891	5881
511	1895	5879
512	1899	5876
513	1903	5872
514	1907	5869
515	1910	5865
516	1914	5860
517	1918	5857
518	1921	5853
519	1925	5849
520	1928	5846
521	1932	5842
522	1936	5838
523	1940	5834
524	1943	5831
525	1947	5826
526	1950	5822
527	1954	5818
528	1957	5814
529	1961	5810
530	1965	5807
531	1968	5802
532	1972	5799
533	1976	5795
534	1980	5792
535	1983	5788
536	1987	5785
537	1991	5781
538	1995	5778
539	1999	5775
540	2002	5770
541	2006	5766
542	2009	5762
543	2013	5759
544	2017	5755
545	2020	5752
546	2024	5748
547	2028	5745
548	2032	5741
549	2036	5738
550	2039	5734
551	2043	5730
552	2047	5726
553	2051	5724
554	2055	5720
555	2058	5716
556	2062	5712
557	2065	5708
558	2069	5703
559	2072	5700
560	2076	5696
561	2080	5692
562	2083	5689
563	2087	5685
564	2091	5681
565	2095	5678
566	2098	5674
567	2102	5670
568	2105	5666
569	2109	5662
570	2113	5659
571	2117	5656
572	2121	5652
573	2124	5647
574	2128	5644
575	2131	5640
576	2135	5636
577	2139	5634
578	2144	5632
579	2148	5629
580	2153	5628
581	2157	5628
582	2162	5626
583	2165	5622
584	2169	5618
585	2172	5613
586	2176	5609
587	2180	5605
588	2183	5602
589	2187	5598
590	2191	5595
591	2195	5592
592	2198	5588
593	2202	5584
594	2206	5580
595	2210	5578
596	2214	5574
597	2217	5569
598	2221	5565
599	2225	5562
600	2229	5559
601	2232	5555
602	2236	5552
603	2240	5548
604	2244	5545
605	2249	5545
606	2252	5541
607	2256	5537
608	2260	5534
609	2264	5531
610	2268	5527
611	2271	5523
612	2275	5519
613	2279	5516
614	2282	5512
615	2286	5509
